mae	mse	rmse	r2	correlation	mean_ratio	median_ratio	valid_windows	total_windows	country	subtype	total_sequences	total_cases
0.0	0.0	0.0	1.0	1.0	0.9999999995591424	0.9999999996666666	72	121	uganda	AH3	107.0	1053.0
0.0	0.0	0.0	1.0	1.0	0.9999999992619241	0.999999999387368	63	121	uganda	AH1N12009	137.0	569.0
0.0	0.0	0.0	1.0	1.0	0.9999999986915061	0.9999999992310376	30	121	uganda	BVIC	47.0	356.76488095238096
0.0	0.0	0.0	1.0	1.0	0.999999997914251	0.9999999977714286	9	121	uganda	BYAM	5.0	69.23511904761904
							0	121	uganda	AOTHER_SUBTYPE	10.0	0.0
							0	121	singapore	AOTHER_SUBTYPE	0.0	10.0
0.0	0.0	0.0	1.0	1.0	0.9999999991457318	0.9999999996845552	102	121	singapore	AH3	1608.0	5607.0
0.0	0.0	0.0	1.0	1.0	0.9999999820022575	0.999999994305653	106	121	singapore	BVIC	856.4851712243388	1335.4058258739292
0.0	0.0	0.0	1.0	1.0	0.9999999993772185	0.9999999994145821	50	121	singapore	BYAM	304.51482877566116	757.5941741260706
0.0	0.0	0.0	1.0	1.0	0.999999999439882	0.9999999996566945	99	121	singapore	AH1N12009	1166.0	3459.0
0.0	0.0	0.0	1.0	1.0	0.999999993638018	0.9999999998378378	27	121	kuwait	AH3	59.0	1175.0
0.0	0.0	0.0	1.0	1.0	0.9999999999412083	0.999999999982439	31	121	kuwait	AH1N12009	54.0	5902.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999998181787	0.9999999998224673	10	121	kuwait	BYAM	19.0	1379.5
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999996517822	0.9999999998313253	17	121	kuwait	BVIC	7.0	1466.5
0.0	0.0	0.0	1.0	0.9999999999999999	0.999999999563269	0.9999999997368421	66	121	hungary	AH3	257.0	2369.0
0.0	0.0	0.0	1.0	1.0	0.9999999994737018	0.9999999997904625	72	121	hungary	AH1N12009	302.0	2862.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999690189473	0.9999999946525975	50	121	hungary	BVIC	89.0	294.8
0.0	0.0	0.0	1.0	1.0	0.9999999996197734	0.999999999906445	11	121	hungary	BYAM	26.0	567.2
0.0	0.0	0.0	1.0	0.9999999999999999	0.999999999475241	0.9999999995454545	66	121	algeria	AH3	64.0	782.0
0.0	0.0	0.0	1.0	1.0	0.999999999507591	0.9999999995111848	40	121	algeria	AH1N12009	105.0	1103.0
0.0	0.0	0.0	1.0	1.0	0.9999999941071309	0.9999999977974683	7	121	algeria	BYAM	6.0	77.5
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999973678045	0.9999999980922432	14	121	algeria	BVIC	22.0	71.5
							0	121	uzbekistan	AOTHER_SUBTYPE	1.0	0.0
							0	121	uzbekistan	BYAM	0.0	52.0
							0	121	uzbekistan	BVIC	0.0	45.0
0.0	0.0	0.0	1.0	1.0	0.9999999989560835	0.9999999989999999	13	121	uzbekistan	AH3	17.0	167.0
0.0	0.0	0.0	1.0	1.0	0.9999999992162737	0.99999999955	9	121	uzbekistan	AH1N12009	33.0	200.0
0.0	0.0	0.0	1.0	1.0	0.9999999997999102	0.9999999998119393	109	121	canada	AH3	9973.0	75942.0
0.0	0.0	0.0	1.0	1.0	0.9999999997994055	0.9999999998954354	48	121	canada	BYAM	689.9462510600043	21945.43280380519
0.0	0.0	0.0	1.0	1.0	0.9999999998557808	0.999999999943634	95	121	canada	BVIC	2461.053748939996	92201.56719619481
							0	121	canada	AOTHER_SUBTYPE	0.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999996333845	0.9999999998238022	109	121	canada	AH1N12009	8234.0	81277.0
							0	121	canada	AH7N9	0.0	0.0
							0	121	grenada	AH3	1.0	0.0
							0	121	grenada	AH1N12009	11.0	4.0
							0	121	grenada	BVIC	1.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999993492921	0.9999999994642856	66	121	uruguay	AH3	132.0	688.0
0.0	0.0	0.0	1.0	1.0	0.9999999995044384	0.9999999996269981	45	121	uruguay	AH1N12009	70.0	663.0
0.0	0.0	0.0	1.0	1.0	0.9999999943496654	0.9999999943608392	10	121	uruguay	BVIC	40.0	15.0
0.0	0.0	0.0	1.0	1.0	0.9999999983498441	0.9999999992222222	29	121	uruguay	BYAM	21.0	72.0
							0	121	uruguay	AOTHER_SUBTYPE	0.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999981700933	0.9999999998017621	81	121	portugal	BVIC	710.0	12541.591036065118
0.0	0.0	0.0	1.0	1.0	0.9999999960235921	0.9999999984290766	44	121	portugal	BYAM	185.0	2036.408963934882
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999996595716	0.9999999998260869	89	121	portugal	AH1N12009	1134.0	7635.0
0.0	0.0	0.0	1.0	1.0	0.99999999950231	0.9999999997777778	93	121	portugal	AH3	1309.0	9223.0
0.0	0.0	0.0	1.0	1.0	0.9999999992078676	0.9999999996910345	31	121	israel	BVIC	114.5	1891.5
0.0	0.0	0.0	1.0	0.9999999999999999	0.999999999887247	0.9999999998995495	8	121	israel	BYAM	27.5	1385.5
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999991241427	0.9999999995560975	60	121	israel	AH3	273.0	2689.0
0.0	0.0	0.0	1.0	1.0	0.999999999582025	0.9999999998119122	59	121	israel	AH1N12009	296.0	3695.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999993076922	0.9999999995	13	121	turks and caicos islands	AH1N12009	5.0	14.0
							0	121	turks and caicos islands	AH3	1.0	2.0
0.0	0.0	0.0	1.0	1.0	0.999999998897921	0.9999999990999999	71	121	togo	AH1N12009	279.0	703.0
0.0	0.0	0.0	1.0	1.0	0.9999999929810035	0.9999999990388952	33	121	togo	BVIC	222.0	356.66666666666663
0.0	0.0	0.0	1.0	1.0	0.9999999990070616	0.9999999991931976	83	121	togo	AH3	506.0	1143.0
0.0	0.0	0.0	1.0	1.0	0.9999999980578157	0.9999999985263158	15	121	togo	BYAM	5.0	160.33333333333331
0.0	0.0	0.0	1.0	1.0	0.9999999997404855	0.9999999999224806	65	121	paraguay	AH1N12009	105.0	5132.0
0.0	0.0	0.0	1.0	1.0	0.9999999995651715	0.99999999975	65	121	paraguay	AH3	96.0	3474.0
0.0	0.0	0.0	1.0	1.0	0.9999999989636483	0.9999999994320774	52	121	paraguay	BVIC	62.0	897.6404761904762
0.0	0.0	0.0	1.0	1.0	0.9999999995241213	0.9999999996674074	36	121	paraguay	BYAM	28.0	892.3595238095238
							0	121	paraguay	AOTHER_SUBTYPE	1.0	0.0
							0	121	poland	AOTHER_SUBTYPE	0.0	0.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999984221972	0.9999999993877551	57	121	poland	AH3	270.0	1015.0
0.0	0.0	0.0	1.0	1.0	0.9999999997511732	0.9999999999145256	68	121	poland	AH1N12009	158.0	6388.0
0.0	0.0	0.0	1.0	1.0	0.9999999997172847	0.9999999998853654	12	121	poland	BYAM	37.69230769230769	2246.8076923076924
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999989468623	0.9999999996516516	39	121	poland	BVIC	129.30769230769232	3377.1923076923076
0.0	0.0	0.0	1.0	1.0	0.999999999570588	0.9999999995705882	12	121	cayman islands	AH1N12009	5.0	343.0
0.0	0.0	0.0	1.0		0.9999999986666667	0.9999999986666667	7	121	cayman islands	AH3	4.0	164.0
0.0	0.0	0.0	1.0	1.0	0.9999999920000001	0.9999999900000001	6	121	cayman islands	BYAM	2.0	2.5
0.0	0.0	0.0	1.0	1.0	0.9999999996710137	0.9999999998152365	108	121	chile	AH3	1843.0	13170.0
							0	121	chile	AOTHER_SUBTYPE	1.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999997432436	0.9999999998295841	61	121	chile	BYAM	373.0	3433.8768072393873
0.0	0.0	0.0	1.0	1.0	0.999999999695522	0.9999999997560676	91	121	chile	AH1N12009	1482.0	11172.0
0.0	0.0	0.0	1.0	1.0	0.9999999954956352	0.9999999992314942	92	121	chile	BVIC	1575.0	4653.123192760613
0.0	0.0	0.0	1.0	0.9999999999999998	0.999999999313058	0.9999999997386364	70	121	croatia	AH3	271.0	2852.0
0.0	0.0	0.0	1.0	1.0	0.9999999993926799	0.9999999998182818	20	121	croatia	BYAM	6.0	1834.0
0.0	0.0	0.0	1.0	1.0	0.9999999992672722	0.9999999995945945	75	121	croatia	AH1N12009	137.0	2913.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999958847188	0.9999999988571429	41	121	croatia	BVIC	73.0	1877.0
